% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000445           2       234        69 access
  0.00    0.000022           2         9           arch_prctl
  0.00    0.000026           7         4           bind
  0.00    0.000124           3        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000006           2         4           clock_getres
  0.00    0.001534          15       101           clone
  0.03    0.050480           4     13203           close
  0.00    0.001243          27        46        30 connect
  0.00    0.000109           5        24           dup2
  0.00    0.000118           5        23        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000021           3         8           fchdir
  0.00    0.003800           1      2911           fcntl
  0.03    0.046014           3     16735           fstat
  0.00    0.000061          10         6           ftruncate
 96.55  155.765628         758    205587     23556 futex
  0.00    0.000020           2         9           getcwd
  0.09    0.153181           8     19322           getdents
  0.00    0.000006           2         3           getegid
  0.00    0.000024           2        15           geteuid
  0.00    0.000005           2         3           getgid
  0.00    0.000012           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.000144           8        19         2 getsockname
  0.00    0.000079           9         9           getsockopt
  0.00    0.000466           6        84           gettid
  0.00    0.000012           2         5           getuid
  0.00    0.000254           3        75         3 ioctl
  0.00    0.000003           2         2           kill
  0.03    0.043701           2     28006        47 lseek
  0.23    0.377922           4     88184        18 lstat
  0.00    0.000896          11        85           madvise
  0.00    0.000003           2         2         2 mkdir
  0.01    0.012046           5      2392           mmap
  0.02    0.024763           4      6601           mprotect
  0.00    0.003211           4       750           munmap
  0.05    0.074123           5     14027       694 openat
  0.00    0.000012           1        16           pipe
  0.00    0.000562          20        28           poll
  0.00    0.000665           8        82           prctl
  0.00    0.000039           2        18           prlimit64
  0.07    0.116203           3     40964           read
  0.00    0.000168           3        49         2 readlink
  1.61    2.595358        2520      1030           recvfrom
  0.01    0.008413         841        10           recvmsg
  0.00    0.000464           3       135           rt_sigaction
  0.00    0.001092           4       280           rt_sigprocmask
  0.00    0.000223           2        91           rt_sigreturn
  0.00    0.001454           8       175           sched_getaffinity
  0.00    0.000044          44         1           sched_setaffinity
  0.29    0.471675           8     56493           sched_yield
  0.00    0.000071          71         1           sendmmsg
  0.02    0.032143          31      1036           sendto
  0.00    0.000391           4        89           set_robust_list
  0.00    0.000014           5         3           set_tid_address
  0.00    0.001021          38        27           setsockopt
  0.00    0.000001           1         1           shutdown
  0.00    0.000850          19        45           socket
  0.00    0.000006           3         2           socketpair
  0.46    0.739628           5    162454      3097 stat
  0.00    0.000041           8         5           sysinfo
  0.00    0.000013           3         5           uname
  0.00    0.000021           7         3           unlink
  0.00    0.001009           5       191           utimes
  0.47    0.765939       45055        17           wait4
  0.02    0.037286           3     14368           write
------ ----------- ----------- --------- --------- ----------------
100.00  161.335308                676163     27534 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.001026           4       234        69 access
  0.00    0.000056           6         9           arch_prctl
  0.00    0.000027           7         4           bind
  0.00    0.000197           5        38           brk
  0.00    0.000024           5         5           chdir
  0.00    0.000032           8         4           clock_getres
  0.00    0.000757           7       101           clone
  0.03    0.050954           4     13204           close
  0.00    0.000719          16        46        30 connect
  0.00    0.000384          16        24           dup2
  0.00    0.000165           7        23        14 execve
  0.00    0.000021          11         2           faccessat
  0.00    0.000046           6         8           fchdir
  0.00    0.004007           1      2911           fcntl
  0.03    0.045870           3     16735           fstat
  0.00    0.000075          13         6           ftruncate
 96.64  153.102716         753    203212     22690 futex
  0.00    0.000012           1         9           getcwd
  0.10    0.160741           8     19322           getdents
  0.00    0.000010           3         3           getegid
  0.00    0.000072           5        15           geteuid
  0.00    0.000010           3         3           getgid
  0.00    0.000036           4         9           getpid
  0.00    0.000006           3         2           getppid
  0.00    0.000092           5        19         2 getsockname
  0.00    0.000047           5         9           getsockopt
  0.00    0.000238           3        84           gettid
  0.00    0.000044           9         5           getuid
  0.00    0.000065           1        74         3 ioctl
  0.00    0.000019          10         2           kill
  0.03    0.041806           1     28004        47 lseek
  0.25    0.399279           5     88184        18 lstat
  0.00    0.002345          33        71           madvise
  0.00    0.000017           9         2         2 mkdir
  0.01    0.016017           7      2404           mmap
  0.01    0.022187           3      6544           mprotect
  0.00    0.003661           5       748           munmap
  0.04    0.069699           5     14028       694 openat
  0.00    0.000134           8        16           pipe
  0.00    0.000285          11        26           poll
  0.00    0.000483           6        82           prctl
