% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000634           3       234        69 access
  0.00    0.000008           1         9           arch_prctl
  0.00    0.000009           2         4           bind
  0.00    0.000051           1        38           brk
  0.00    0.000009           2         5           chdir
  0.00    0.000010           3         4           clock_getres
  0.00    0.002326          16       145           clone
  0.00    0.030202           2     13361           close
  0.00    0.004399          50        88        73 connect
  0.00    0.000224           3        68           dup2
  0.00    0.000042           2        23        14 execve
  0.00    0.000009           5         2           faccessat
  0.00    0.000018           2         8           fchdir
  0.00    0.017074           6      3087           fcntl
  0.00    0.028399           2     16847           fstat
  0.00    0.000088          15         6           ftruncate
 87.90 7203.681607       22833    315501     70492 futex
  0.00    0.000018           2         9           getcwd
  0.00    0.092358           5     19530           getdents
  0.00    0.000003           1         3           getegid
  0.00    0.000031           2        15           geteuid
  0.00    0.000003           1         3           getgid
  0.00    0.000012           1         9           getpid
  0.00    0.000004           2         2           getppid
  0.00    0.008106         129        63         2 getsockname
  0.00    0.000234           4        53           getsockopt
  0.00    0.000294           2       128           gettid
  0.00    0.000003           1         5           getuid
  0.00    0.000166           2        72         3 ioctl
  0.00    0.079738           3     28092        47 lseek
  0.00    0.227896           3     88694        18 lstat
  0.00    0.004196          36       118           madvise
  0.00    0.000006           3         2         2 mkdir
  0.00    0.056013          21      2652           mmap
  0.02    1.732563         217      7999           mprotect
  0.00    0.025054          31       798           munmap
  0.00    0.042231           3     14141       694 openat
  0.00    0.000103           6        16           pipe
  0.00    0.000922          12        80           poll
  0.00    0.000483           4       126           prctl
  0.00    0.000041           2        18           prlimit64
  0.01    0.567340          14     41099           read
  0.00    0.000089           2        49         2 readlink
  5.75  470.955167         471   1000090           recvfrom
  0.00    0.008382         838        10           recvmsg
  0.00    0.000132           1       135           rt_sigaction
  0.00    0.001379           3       457           rt_sigprocmask
  0.00    0.000371           2       155           rt_sigreturn
  0.00    0.000936           4       263           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  3.25  266.698268          17  15349155           sched_yield
  0.00    0.000000           0         1           sendmmsg
  1.51  123.911595         124   1000172           sendto
  0.00    0.000300           2       133           set_robust_list
  0.00    0.000004           1         3           set_tid_address
  0.00    0.000615           4       159           setsockopt
  0.00    0.000002           2         1           shutdown
  0.00    0.353369        4016        88           socket
  0.00    0.000030          15         2           socketpair
  0.01    0.537114           3    163234      3097 stat
  0.00    0.000012           2         5           sysinfo
  0.00    0.000000           0         5           uname
  0.00    0.000007           2         3           unlink
  0.00    0.000998           5       191           utimes
  1.54  126.130532     7419443        17           wait4
  0.00    0.048777           3     14578           write
------ ----------- ----------- --------- --------- ----------------
100.00 8195.251006              18082064     74513 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000383           2       234        69 access
  0.00    0.000015           2         9           arch_prctl
  0.00    0.000011           3         4           bind
  0.00    0.000083           2        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000021           5         4           clock_getres
  0.00    0.001603          11       145           clone
  0.00    0.030409           2     13356           close
  0.00    0.002255          26        88        73 connect
  0.00    0.000108           2        68           dup2
  0.00    0.000064           3        23        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000036           5         8           fchdir
  0.00    0.008050           3      3087           fcntl
  0.00    0.027149           2     16843           fstat
  0.00    0.000115          19         6           ftruncate
 88.53 8906.799492       22503    395810    112028 futex
  0.00    0.000018           2         9           getcwd
  0.00    0.099065           5     19530           getdents
  0.00    0.000003           1         3           getegid
  0.00    0.000039           3        15           geteuid
  0.00    0.000002           1         3           getgid
  0.00    0.000018           2         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.000367           6        63         2 getsockname
  0.00    0.002136          40        53           getsockopt
  0.00    0.000397           3       128           gettid
  0.00    0.000002           0         5           getuid
  0.00    0.000014           0        71         3 ioctl
  0.00    0.031041           1     28058        47 lseek
  0.00    0.229973           3     88670        18 lstat
  0.00    0.008820          71       124           madvise
