,Loop Number,Number of Threads,access,arch_prctl,bind,brk,chdir,clock_getres,clone,close,connect,dup2,execve,faccessat,fchdir,fcntl,fstat,ftruncate,futex,getcwd,getdents,getegid,geteuid,getgid,getpid,getppid,getsockname,getsockopt,gettid,getuid,ioctl,lseek,lstat,madvise,mkdir,mmap,mprotect,munmap,openat,pipe,poll,prctl,prlimit64,read,readlink,recvfrom,recvmsg,rt_sigaction,rt_sigprocmask,rt_sigreturn,sched_getaffinity,sched_setaffinity,sched_yield,sendmmsg,sendto,set_robust_list,set_tid_address,setsockopt,shutdown,socket,socketpair,stat,sysinfo,uname,unlink,utimes,wait4,write
0,1,48,909,30,14,132,20,16,436,53265,360,256,78,8,32,12284,67222,24,195161,36,77928,12,60,12,36,8,234,196,368,20,320,112078,353700,345,8,8863,23022,3035,56390,64,258,360,72,163423,196,5174,36,508,1377,293,760,0.0,2191,4,4615,388,12,588,4,346,8,651416,20,20,12,764,68,58230
1,2,48,905,29,15,129,20,16,436,53243,350,256,71,8,32,12284,67203,24,200627,36,77928,12,60,12,36,8,235,196,368,20,306,111952,353708,351,8,8920,23804,3053,56371,64,258,360,72,163171,196,5146,38,508,1379,305,760,0.0,2276,4,4616,388,12,588,4,342,8,651432,20,20,12,764,68,58232
2,3,48,908,29,15,132,20,16,436,53264,364,256,78,8,32,12284,67218,24,204670,36,77928,12,60,12,36,8,235,196,368,20,326,112050,353708,347,8,8870,23582,3028,56386,64,262,360,72,163466,196,5138,37,508,1379,301,760,0.0,3383,4,4618,388,12,588,4,349,8,651432,20,20,12,764,68,58234
3,1,52,901,28,15,131,20,16,452,53277,380,272,71,8,32,12348,67215,24,207654,36,77928,12,60,12,36,8,251,212,384,20,327,112080,353728,359,8,8937,23241,3050,56383,64,278,376,72,163426,196,5350,37,508,1440,320,792,0.0,5104,4,4666,404,12,636,4,365,8,651472,20,20,12,764,68,58303
4,2,52,908,28,14,130,20,16,452,53267,376,272,69,8,32,12348,67209,24,200990,36,77928,12,60,12,36,8,250,212,384,20,322,111982,353748,348,8,8926,23304,3056,56377,64,278,376,72,163149,196,5264,36,508,1442,311,792,0.0,2952,4,4665,404,12,636,4,362,8,651512,20,20,12,764,68,58310
5,3,52,911,29,15,133,20,16,452,53270,374,272,79,8,32,12348,67212,24,202427,36,77928,12,60,12,36,8,251,212,384,20,316,111980,353748,363,8,8929,23136,3060,56380,64,276,376,72,163184,196,5386,38,508,1440,281,792,0.0,3238,4,4665,404,12,636,4,362,8,651512,20,20,12,764,68,58319
6,1,56,908,31,14,136,20,16,468,53303,398,288,84,8,32,12412,67224,24,201009,36,77928,12,60,12,36,8,266,228,400,20,329,112080,353768,387,8,8996,23345,3097,56391,64,286,392,72,163521,196,5478,36,508,1507,298,824,0.0,3893,4,4709,420,12,684,4,381,8,651552,20,20,12,764,68,58323
7,2,56,908,28,15,130,20,16,468,53282,388,288,72,8,32,12412,67209,24,204200,36,77928,12,60,12,36,8,267,228,400,20,314,111984,353788,369,8,9035,23003,3099,56377,64,290,392,72,163356,196,5360,38,508,1506,297,824,0.0,2162,4,4712,420,12,684,4,377,8,651592,20,20,12,764,68,58367
8,3,56,911,29,15,132,20,16,468,53302,408,288,73,8,32,12412,67219,24,204252,36,77928,12,60,12,36,8,267,228,400,20,345,112046,353788,389,8,9018,23470,3071,56387,64,292,392,72,163317,196,5512,38,508,1505,312,824,0.0,2968,4,4713,420,12,684,4,387,8,651592,20,20,12,764,68,58374
9,1,60,911,30,15,133,20,16,484,53315,404,306,67,8,32,12476,67223,24,201355,36,77932,12,60,12,36,8,283,244,416,20,315,112020,353808,390,8,9093,23850,3133,56392,64,306,408,72,163371,196,5538,38,508,1568,308,857,1.0,2644,4,4760,436,12,732,4,393,8,651632,20,20,12,764,68,58459
