% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000253           1       227        62 access
  0.00    0.000007           1         7           arch_prctl
  0.00    0.000015           4         4           bind
  0.00    0.000051           2        34           brk
  0.00    0.000006           1         5           chdir
  0.00    0.000020           5         4           clock_getres
  0.00    0.001360          12       113           clone
  0.04    0.030755           2     13320           close
  0.01    0.004668          52        90        74 connect
  0.00    0.000173           3        68           dup2
  0.00    0.000005           0        21        14 execve
  0.00    0.000017           9         2           faccessat
  0.00    0.000034           4         8           fchdir
  0.02    0.020142           7      3087           fcntl
  0.03    0.026938           2     16807           fstat
  0.00    0.000044           7         6           ftruncate
 92.06   79.454899        1533     51827      8761 futex
  0.00    0.000002           0         9           getcwd
  0.11    0.098404           5     19482           getdents
  0.00    0.000005           2         3           getegid
  0.00    0.000047           3        15           geteuid
  0.00    0.000005           2         3           getgid
  0.00    0.000017           2         9           getpid
  0.00    0.000004           2         2           getppid
  0.01    0.009870         157        63         2 getsockname
  0.01    0.011532         218        53           getsockopt
  0.00    0.000249           3        96           gettid
  0.00    0.000005           1         5           getuid
  0.00    0.000067           1        74         7 ioctl
  0.03    0.023571           1     28034        47 lseek
  0.33    0.281985           3     88426        18 lstat
  0.00    0.000844           9        95           madvise
  0.00    0.000012           6         2         2 mkdir
  0.01    0.005751           3      2249           mmap
  0.01    0.010120           2      5640           mprotect
  0.00    0.002030           3       769           munmap
  0.05    0.041087           3     14099       694 openat
  0.00    0.000061           4        16           pipe
  0.02    0.014112         202        70           poll
  0.00    0.000321           3        94           prctl
  0.00    0.000061           3        18           prlimit64
  0.06    0.053615           1     40870           read
  0.00    0.000084           2        49         2 readlink
  5.88    5.072050        3791      1338           recvfrom
  0.01    0.008335         834        10           recvmsg
  0.00    0.000266           2       127           rt_sigaction
  0.00    0.000888           2       361           rt_sigprocmask
  0.00    0.000164           2        84           rt_sigreturn
  0.00    0.000746           4       198           sched_getaffinity
  0.00    0.002260           3       688           sched_yield
  0.00    0.000009           9         1           sendmmsg
  0.08    0.070804          61      1167           sendto
