% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000221           1       234        69 access
  0.00    0.000000           0         9           arch_prctl
  0.00    0.000013           3         4           bind
  0.00    0.000042           1        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000007           2         4           clock_getres
  0.00    0.000566           5       109           clone
  0.00    0.030101           2     13389           close
  0.00    0.003236          39        84        69 connect
  0.00    0.000223           3        64           dup2
  0.00    0.000000           0        20        11 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000014           2         8           fchdir
  0.00    0.014415           5      3071           fcntl
  0.00    0.026213           2     16881           fstat
  0.00    0.000022           4         6           ftruncate
 27.81  568.591189        2760    206045     68591 futex
  0.00    0.000002           0         9           getcwd
  0.01    0.104095           5     19606           getdents
  0.00    0.000004           1         3           getegid
  0.00    0.000015           1        15           geteuid
  0.00    0.000003           1         3           getgid
  0.00    0.000011           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.001463          25        59         2 getsockname
  0.00    0.003871          79        49           getsockopt
  0.00    0.000261           3        92           gettid
  0.00    0.000003           1         5           getuid
  0.00    0.000184           3        71         7 ioctl
  0.00    0.019133           1     28054        47 lseek
  0.01    0.246903           3     88703        18 lstat
  0.00    0.001969          18       111           madvise
  0.00    0.000004           2         2         2 mkdir
  0.00    0.011972           5      2563           mmap
  0.00    0.013742           2      7461           mprotect
  0.00    0.002466           3       779           munmap
  0.00    0.040692           3     14173       694 openat
  0.00    0.000009           1        16           pipe
  0.00    0.032518          60       540           poll
  0.00    0.000240           3        90           prctl
  0.00    0.000023           1        18           prlimit64
  0.01    0.176161           4     40906           read
  0.00    0.000044           1        49         2 readlink
 70.02 1431.646597        1431   1000350           recvfrom
  0.00    0.024748        1650        15           recvmsg
  0.00    0.000255           2       127           rt_sigaction
  0.00    0.000790           2       344           rt_sigprocmask
  0.00    0.000198           2       102           rt_sigreturn
  0.00    0.000487           3       191           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.01    0.249921           9     27737           sched_yield
  0.00    0.000008           8         1           sendmmsg
  0.52   10.587191          11   1000392           sendto
  0.00    0.000218           2        97           set_robust_list
  0.00    0.000000           0         3           set_tid_address
  0.00    0.017270         117       147           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.091966        1095        84           socket
  0.00    0.000000           0         2           socketpair
  0.03    0.572050           4    163321      3094 stat
  0.00    0.000021           4         5           sysinfo
  0.00    0.000007           1         5           uname
  0.00    0.000036          12         3           unlink
  0.00    0.000552           3       191           utimes
  1.57   32.129415     1889966        17           wait4
  0.00    0.022132           1     15037           write
------ ----------- ----------- --------- --------- ----------------
100.00 2044.665912               2651534     72606 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000140           1       230        65 access
  0.00    0.000000           0         8           arch_prctl
  0.00    0.000023           6         4           bind
  0.00    0.000030           1        35           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000005           1         4           clock_getres
  0.00    0.001050          10       109           clone
  0.00    0.029126           2     13378           close
  0.00    0.004361          52        84        69 connect
  0.00    0.000000           0        64           dup2
  0.00    0.000000           0        19        11 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000015           2         8           fchdir
  0.00    0.002390           1      3071           fcntl
  0.00    0.023680           1     16870           fstat
  0.00    0.000065          11         6           ftruncate
 27.74  581.746226        2256    257861     91385 futex
  0.00    0.000011           1         9           getcwd
  0.00    0.093531           5     19602           getdents
  0.00    0.000000           0         3           getegid
  0.00    0.000012           1        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000000           0         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.002360          40        59         2 getsockname
  0.00    0.000139           3        49           getsockopt
  0.00    0.000302           3        92           gettid
  0.00    0.000014           3         5           getuid
  0.00    0.000053           1        71         7 ioctl
  0.00    0.025005           1     28054        47 lseek
  0.01    0.223351           3     88692        18 lstat
  0.00    0.002179          22       100           madvise
  0.00    0.000005           3         2         2 mkdir
  0.00    0.013523           5      2564           mmap
  0.00    0.015055           2      7559           mprotect
  0.00    0.002485           3       777           munmap
  0.00    0.039771           3     14162       694 openat
  0.00    0.000019           1        16           pipe
  0.00    0.028763          39       740           poll
  0.00    0.000434           5        90           prctl
  0.00    0.000022           1        18           prlimit64
  0.01    0.244698           6     40893           read
  0.00    0.000050           1        49         2 readlink
 70.01 1468.263810        1466   1001442           recvfrom
  0.00    0.008103         810        10           recvmsg
  0.00    0.000063           0       127           rt_sigaction
  0.00    0.001340           4       344           rt_sigprocmask
  0.00    0.000755           9        85           rt_sigreturn
  0.00    0.000806           4       190           sched_getaffinity
  0.01    0.290697           9     33598           sched_yield
  0.00    0.000062          62         1           sendmmsg
  0.62   12.950535          13   1000492           sendto
  0.00    0.000388           4        97           set_robust_list
  0.00    0.000000           0         3           set_tid_address
  0.00    0.001706          12       147           setsockopt
  0.00    0.000001           1         1           shutdown
  0.01    0.165151        1966        84           socket
  0.00    0.000019          10         2           socketpair
  0.03    0.537262           3    163325      3094 stat
  0.00    0.000013           3         5           sysinfo
  0.00    0.000013           3         5           uname
  0.00    0.000000           0         3           unlink
  0.00    0.000371           2       191           utimes
  1.55   32.550784     1914752        17           wait4
  0.00    0.018407           1     15237           write
------ ----------- ----------- --------- --------- ----------------
100.00 2097.289179               2710799     95396 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000443           2       238        69 access
  0.00    0.000016           2         9           arch_prctl
  0.00    0.000026           7         4           bind
  0.00    0.000081           2        38           brk
  0.00    0.000009           2         5           chdir
  0.00    0.000017           4         4           clock_getres
  0.00    0.000529           5       109           clone
  0.00    0.029548           2     13393           close
  0.00    0.002858          33        86        70 connect
  0.00    0.000131           2        67           dup2
  0.00    0.000072           4        20        11 execve
  0.00    0.000018           9         2           faccessat
  0.00    0.000030           4         8           fchdir
  0.00    0.007466           2      3071           fcntl
  0.00    0.027525           2     16881           fstat
  0.00    0.000120          20         6           ftruncate
 27.67  579.334460        2875    201514     65488 futex
  0.00    0.000016           2         9           getcwd
  0.00    0.098707           5     19606           getdents
  0.00    0.000007           1         7           getegid
  0.00    0.000052           3        19           geteuid
  0.00    0.000008           1         7           getgid
  0.00    0.000025           3         9           getpid
  0.00    0.000008           4         2           getppid
  0.00    0.000256           4        59         2 getsockname
  0.00    0.001007          21        49           getsockopt
  0.00    0.000120           1        92           gettid
  0.00    0.000009           1         9           getuid
  0.00    0.000183           2        74         7 ioctl
  0.00    0.029493           1     28054        47 lseek
  0.01    0.239516           3     88696        18 lstat
  0.00    0.001685          16       105           madvise
  0.00    0.000012           6         2         2 mkdir
  0.00    0.024307           9      2564           mmap
  0.00    0.016179           2      7510           mprotect
  0.00    0.003021           4       781           munmap
  0.00    0.041136           3     14176       694 openat
  0.00    0.000091           6        16           pipe
  0.00    0.003154           6       514           poll
  0.00    0.000224           2        90           prctl
  0.00    0.000057           3        18           prlimit64
  0.01    0.255203           6     40914           read
  0.00    0.000091           2        49         2 readlink
 70.15 1468.589875        1470    998704           recvfrom
  0.00    0.006167         617        10           recvmsg
  0.00    0.000301           2       132           rt_sigaction
  0.00    0.000552           2       344           rt_sigprocmask
  0.00    0.000274           3        80           rt_sigreturn
  0.00    0.000539           3       191           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.01    0.106499          11      9535           sched_yield
  0.00    0.000050          50         1           sendmmsg
  0.56   11.707343          12   1000379           sendto
  0.00    0.000185           2        97           set_robust_list
  0.00    0.000007           2         3           set_tid_address
  0.00    0.005743          39       147           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.036254         427        85           socket
  0.00    0.000000           0         2           socketpair
  0.03    0.535392           3    163338      3094 stat
  0.00    0.000036           7         5           sysinfo
  0.00    0.000005           1         5           uname
  0.00    0.000009           3         3           unlink
  0.00    0.000321           2       191           utimes
  1.55   32.464376     1909669        17           wait4
  0.00    0.023453           2     15008           write
------ ----------- ----------- --------- --------- ----------------
100.00 2093.595297               2627165     69504 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000250           1       230        65 access
  0.00    0.000016           2         8           arch_prctl
  0.00    0.000009           2         4           bind
  0.00    0.000087           2        35           brk
  0.00    0.000008           2         5           chdir
  0.00    0.000018           5         4           clock_getres
  0.00    0.000859           8       109           clone
  0.00    0.025931           2     13378           close
