,Run Number,Number of Threads,access,arch_prctl,bind,brk,chdir,clock_getres,clone,close,connect,dup2,execve,faccessat,fchdir,fcntl,fstat,ftruncate,futex,getcwd,getdents,getegid,geteuid,getgid,getpid,getppid,getsockname,getsockopt,gettid,getuid,ioctl,kill,lseek,lstat,madvise,mkdir,mmap,mprotect,munmap,openat,pipe,poll,prctl,prlimit64,read,readlink,recvfrom,recvmsg,rt_sigaction,rt_sigprocmask,rt_sigreturn,sched_getaffinity,sched_setaffinity,sched_yield,sendmmsg,sendto,set_robust_list,set_tid_address,setsockopt,shutdown,socket,socketpair,stat,sysinfo,uname,unlink,utimes,wait4,write
0,1,2,234,9,4,38,5,4,95,13198,38,18,23,2,8,2887,16735,6,203369,9,19322,3,15,3,9,2,13,3,78,5,71,4,28006,88180,60,2,2361,6730,744,14029,16,30,76,18,40956,49,1022,10,135,257,95,163,1,6037,1,1022,83,3,9,1,38,2,162446,5,5,3,191,17,14348
1,2,2,234,9,4,38,5,4,95,13203,42,18,23,2,8,2887,16739,6,202904,9,19322,3,15,3,9,2,13,3,78,5,77,4,28036,88180,58,2,2371,6657,745,14032,16,32,76,18,41015,49,1000,10,135,256,113,163,1,6405,1,1023,83,3,9,1,40,2,162446,5,5,3,191,17,14350
2,3,2,234,9,4,38,5,4,95,13198,42,18,23,2,8,2887,16735,6,201807,9,19322,3,15,3,9,2,13,3,78,5,77,2,28006,88180,60,2,2362,6975,744,14027,16,30,76,18,40964,49,1028,15,135,256,108,163,1,2106,1,1022,83,3,9,1,40,2,162446,5,5,3,191,17,14348
3,1,4,234,9,4,38,5,4,97,13203,46,20,23,2,8,2895,16735,6,203394,9,19322,3,15,3,9,2,15,5,80,5,80,2,28004,88182,55,2,2353,6842,732,14029,16,28,78,18,40971,49,1020,10,135,265,109,167,1,3231,1,1026,85,3,15,1,43,2,162450,5,5,3,191,17,14352
4,2,4,234,9,4,38,5,4,97,13206,44,20,23,2,8,2895,16739,6,203037,9,19322,3,15,3,9,2,15,5,80,5,77,2,28038,88182,55,2,2350,6723,741,14033,16,26,78,18,41018,49,1040,10,135,264,92,167,1,7866,1,1025,85,3,15,1,42,2,162450,5,5,3,191,17,14352
5,3,4,234,9,4,38,5,4,97,13203,46,20,23,2,8,2895,16735,6,204045,9,19322,3,15,3,9,2,15,5,80,5,80,2,28004,88182,71,2,2381,7056,748,14029,16,28,78,18,40966,49,1088,10,135,265,111,167,1,15503,1,1026,85,3,15,1,43,2,162450,5,5,3,191,17,14354
6,1,8,234,9,4,38,5,4,101,13203,46,24,23,2,8,2911,16735,6,205587,9,19322,3,15,3,9,2,19,9,84,5,75,2,28006,88184,85,2,2392,6601,750,14027,16,28,82,18,40964,49,1030,10,135,280,91,175,1,56493,1,1036,89,3,27,1,45,2,162454,5,5,3,191,17,14368
7,2,8,234,9,4,38,5,4,101,13204,46,24,23,2,8,2911,16735,6,203212,9,19322,3,15,3,9,2,19,9,84,5,74,2,28004,88184,71,2,2404,6544,748,14028,16,26,82,18,40945,49,1040,10,135,280,97,175,1,2256,1,1035,89,3,27,1,45,2,162454,5,5,3,191,17,14367
8,3,8,234,9,3,38,5,4,101,13205,52,24,23,2,8,2911,16735,6,200088,9,19322,3,15,3,9,2,18,9,84,5,83,2,28006,88184,69,2,2390,6368,743,14027,16,26,82,18,40958,49,1016,8,135,281,96,175,1,23107,1,1034,89,3,27,1,47,2,162454,5,5,3,191,17,14367
9,1,12,234,9,4,38,5,4,105,13208,50,28,23,2,8,2927,16735,6,201045,9,19322,3,15,3,9,2,23,13,88,5,74,2,28004,88188,74,2,2416,6774,752,14028,16,30,86,18,40968,49,1074,10,135,297,102,183,1,2940,1,1047,93,3,39,1,49,2,162462,5,5,3,191,17,14388
