% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 94.98  145.003332         676    214357     27002 futex
  3.89    5.940465          10    599107           sched_yield
  0.32    0.485551           3    162194      3097 stat
  0.26    0.396313       23313        17           wait4
  0.16    0.245577         241      1018           recvfrom
  0.15    0.225151           3     88024        18 lstat
  0.06    0.088168           5     19202           getdents
  0.05    0.071224           2     40959           read
  0.03    0.042069           3     13968       694 openat
  0.02    0.028574           2     13138           close
  0.02    0.026306           2     16675           fstat
  0.02    0.026300           1     28006        47 lseek
  0.01    0.022074          22      1019           sendto
  0.01    0.020852           1     14342           write
  0.01    0.020148           3      6974           mprotect
  0.01    0.008350         835        10           recvmsg
  0.01    0.007864           3      2344           mmap
  0.00    0.002546           3       744           munmap
  0.00    0.002383           1      2887           fcntl
  0.00    0.001088          19        57           madvise
  0.00    0.001078           6       191           utimes
  0.00    0.000738           3       234        69 access
  0.00    0.000703           4       163           sched_getaffinity
  0.00    0.000485           2       257           rt_sigprocmask
  0.00    0.000469           5        95           clone
  0.00    0.000360           5        76           prctl
  0.00    0.000292           7        40        24 connect
  0.00    0.000281           3        94           rt_sigreturn
  0.00    0.000182           1       135           rt_sigaction
  0.00    0.000171           2        78           gettid
  0.00    0.000168           2        83           set_robust_list
  0.00    0.000154           3        49         2 readlink
  0.00    0.000133           6        23        14 execve
  0.00    0.000104          17         6           ftruncate
  0.00    0.000095           3        38           brk
  0.00    0.000069           4        16           pipe
  0.00    0.000052           1        74         2 ioctl
  0.00    0.000052           1        39           socket
  0.00    0.000047           3        18           prlimit64
  0.00    0.000034           2        15           geteuid
  0.00    0.000031           2        13         2 getsockname
  0.00    0.000028           1        24           poll
  0.00    0.000027           2        18           dup2
  0.00    0.000023           3         8           fchdir
  0.00    0.000022           4         5           sysinfo
  0.00    0.000014           2         9           arch_prctl
  0.00    0.000012           6         2           faccessat
  0.00    0.000010           3         4           bind
  0.00    0.000010           3         3           set_tid_address
  0.00    0.000009           3         3           getsockopt
  0.00    0.000009           1         9           getcwd
  0.00    0.000009           5         2         2 mkdir
  0.00    0.000009           3         3           unlink
  0.00    0.000008           2         5           getuid
  0.00    0.000008           3         3           getgid
  0.00    0.000007           1         5           chdir
  0.00    0.000007           7         1           sendmmsg
  0.00    0.000006           2         3           getegid
  0.00    0.000006           2         4           clock_getres
  0.00    0.000004           0         9           getpid
  0.00    0.000003           2         2           getppid
