% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.95  145.223076         686    211819     25835 futex
  5.60    8.744119          13    668628           sched_yield
  0.37    0.580527         544      1068           recvfrom
  0.35    0.543285       31958        17           wait4
  0.32    0.503459           3    162238      3097 stat
  0.15    0.239579           3     88052        18 lstat
  0.06    0.097980           5     19226           getdents
  0.05    0.081646           2     40919           read
  0.03    0.046971           3     13982       694 openat
  0.02    0.030255           2     13154           close
  0.02    0.029277           2     16687           fstat
  0.02    0.027164           1     28006        47 lseek
  0.02    0.026411           2     14346           write
  0.01    0.022106          22      1022           sendto
  0.01    0.016413           2      6798           mprotect
  0.01    0.008313         831        10           recvmsg
  0.00    0.007097           3      2368           mmap
  0.00    0.002410           1      2895           fcntl
  0.00    0.002135           3       739           munmap
  0.00    0.001122          19        58           madvise
  0.00    0.000892           5       167           sched_getaffinity
  0.00    0.000770           8        97           clone
  0.00    0.000762           3       264           rt_sigprocmask
  0.00    0.000761           4       191           utimes
  0.00    0.000602           3       234        69 access
  0.00    0.000465           6        78           prctl
  0.00    0.000297           4        80           gettid
  0.00    0.000224           3        85           set_robust_list
  0.00    0.000164           3        49         2 readlink
  0.00    0.000129           1       135           rt_sigaction
  0.00    0.000093           2        50           rt_sigreturn
  0.00    0.000090           2        38           brk
  0.00    0.000080           5        16           pipe
  0.00    0.000051           1        42        26 connect
  0.00    0.000035           1        41           socket
  0.00    0.000035           2        15           geteuid
  0.00    0.000035           2        18           prlimit64
  0.00    0.000033           6         6           ftruncate
  0.00    0.000030           6         5           sysinfo
  0.00    0.000023           3         8           fchdir
  0.00    0.000021           1        20           poll
  0.00    0.000021          11         2           socketpair
  0.00    0.000019          10         2           faccessat
  0.00    0.000018           1        23        14 execve
  0.00    0.000016           0        74         3 ioctl
  0.00    0.000016           2         9           arch_prctl
  0.00    0.000013           3         5           chdir
  0.00    0.000013           4         3           unlink
  0.00    0.000012           1         9           getpid
  0.00    0.000011           2         5           getuid
  0.00    0.000010           2         5           uname
  0.00    0.000010           1         9           getcwd
  0.00    0.000010           3         3           set_tid_address
  0.00    0.000008           4         2         2 mkdir
  0.00    0.000008           2         4           clock_getres
  0.00    0.000007           2         4           bind
  0.00    0.000006           0        15         2 getsockname
  0.00    0.000005           0        20           dup2
  0.00    0.000004           2         2           getppid
  0.00    0.000003           1         3           getgid
  0.00    0.000003           1         3           getegid
  0.00    0.000002           2         1           shutdown
  0.00    0.000001           0        15           setsockopt
  0.00    0.000000           0         5           getsockopt
  0.00    0.000000           0         1           sched_setaffinity
  0.00    0.000000           0         1           sendmmsg
------ ----------- ----------- --------- --------- ----------------
100.00  156.239153               1293896     29809 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 95.59  142.967777         674    212161     26746 futex
  2.82    4.225060          15    275049           sched_yield
  0.48    0.720963         674      1070           recvfrom
  0.36    0.534494       31441        17           wait4
  0.33    0.487007           3    162238      3097 stat
  0.15    0.231416           3     88052        18 lstat
  0.06    0.089348           5     19226           getdents
  0.05    0.080502           2     41010           read
  0.04    0.061495           4     13983       694 openat
  0.02    0.030555           1     28038        47 lseek
  0.02    0.027095           2     13156           close
  0.02    0.025719           2     16691           fstat
  0.02    0.022845          22      1023           sendto
  0.01    0.018868           1     14348           write
  0.01    0.016148           2      6527           mprotect
  0.01    0.008344         834        10           recvmsg
  0.01    0.007890           3      2358           mmap
  0.00    0.003048           4       738           munmap
  0.00    0.002372           1      2895           fcntl
  0.00    0.001596          26        61           madvise
  0.00    0.001270           7       191           utimes
  0.00    0.000711           3       234        69 access
  0.00    0.000559           6        97           clone
  0.00    0.000551           3       167           sched_getaffinity
  0.00    0.000501           2       265           rt_sigprocmask
  0.00    0.000320           4        78           prctl
  0.00    0.000299           2       135           rt_sigaction
  0.00    0.000294           7        44        27 connect
  0.00    0.000257          12        22           poll
  0.00    0.000212           5        42           socket
  0.00    0.000190           2        80           gettid
  0.00    0.000161           2        85           set_robust_list
  0.00    0.000126           2        77         3 ioctl
  0.00    0.000113          38         3           unlink
  0.00    0.000083           2        49         2 readlink
  0.00    0.000066           1        71           rt_sigreturn
  0.00    0.000046           1        38           brk
  0.00    0.000032           6         5           sysinfo
  0.00    0.000030           2        15         2 getsockname
  0.00    0.000027           2        15           setsockopt
  0.00    0.000023           1        18           prlimit64
  0.00    0.000021           4         5           uname
  0.00    0.000020           3         6           ftruncate
  0.00    0.000013           1         9           getpid
  0.00    0.000012           3         4           bind
  0.00    0.000012           1         9           getcwd
  0.00    0.000008           2         5           getsockopt
  0.00    0.000007           1         8           fchdir
  0.00    0.000007           2         4           clock_getres
  0.00    0.000006           0        15           geteuid
  0.00    0.000004           2         2           socketpair
  0.00    0.000004           1         5           getuid
  0.00    0.000004           0         9           arch_prctl
  0.00    0.000002           1         2         2 mkdir
  0.00    0.000001           1         1           shutdown
  0.00    0.000000           0        16           pipe
  0.00    0.000000           0        20           dup2
  0.00    0.000000           0        23        14 execve
  0.00    0.000000           0         5           chdir
  0.00    0.000000           0         3           getgid
  0.00    0.000000           0         3           getegid
  0.00    0.000000           0         2           getppid
  0.00    0.000000           0         1           sched_setaffinity
  0.00    0.000000           0         3           set_tid_address
  0.00    0.000000           0         2           faccessat
  0.00    0.000000           0         1           sendmmsg
------ ----------- ----------- --------- --------- ----------------
100.00  149.568534                900545     30721 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.36  150.138075         701    214037     28347 futex
  5.90    9.584765           9   1104692           sched_yield
  0.70    1.130604       66506        17           wait4
  0.40    0.658267         627      1050           recvfrom
  0.27    0.446539           3    162238      3097 stat
  0.13    0.213821           2     88052        18 lstat
  0.05    0.087962           5     19226           getdents
  0.05    0.078922           2     40981           read
  0.03    0.056666           4     13984       694 openat
  0.02    0.027492           2     13156           close
  0.02    0.026499           1     28038        47 lseek
  0.02    0.025077           2     16691           fstat
  0.01    0.021361          21      1022           sendto
  0.01    0.018561           3      6800           mprotect
  0.01    0.018047           1     14346           write
  0.00    0.007146           3      2336           mmap
  0.00    0.006083         608        10           recvmsg
  0.00    0.003710         186        20           poll
  0.00    0.002338           1      2895           fcntl
  0.00    0.002151           3       741           munmap
  0.00    0.000913           5       167           sched_getaffinity
  0.00    0.000903           9        97           clone
  0.00    0.000659           3       263           rt_sigprocmask
  0.00    0.000638           3       191           utimes
  0.00    0.000566           2       234        69 access
  0.00    0.000518           8        62           madvise
  0.00    0.000515           7        78           prctl
  0.00    0.000249           3        80           gettid
  0.00    0.000202           2        85           set_robust_list
  0.00    0.000121           1        81           rt_sigreturn
  0.00    0.000113           2        49         2 readlink
  0.00    0.000098           1       135           rt_sigaction
  0.00    0.000098           6        16           pipe
  0.00    0.000077           2        38           brk
  0.00    0.000069           2        41           socket
  0.00    0.000052           3        20           dup2
  0.00    0.000044           1        42        26 connect
  0.00    0.000044           7         6           ftruncate
  0.00    0.000039           2        23        14 execve
  0.00    0.000038           3        15           geteuid
  0.00    0.000037          12         3           unlink
  0.00    0.000033           7         5           sysinfo
  0.00    0.000033           2        18           prlimit64
  0.00    0.000021           3         8           fchdir
  0.00    0.000020           2         9           getcwd
  0.00    0.000019           0        74         3 ioctl
  0.00    0.000012           1         9           getpid
  0.00    0.000012           3         4           bind
  0.00    0.000011           6         2         2 mkdir
  0.00    0.000010           1        15         2 getsockname
  0.00    0.000010           1         9           arch_prctl
  0.00    0.000010           5         2           faccessat
  0.00    0.000009           2         5           getuid
  0.00    0.000008           3         3           getegid
  0.00    0.000008           2         4           clock_getres
  0.00    0.000007           1         5           uname
  0.00    0.000007           2         3           getgid
  0.00    0.000006           1         5           chdir
  0.00    0.000005           3         2           getppid
  0.00    0.000005           2         3           set_tid_address
  0.00    0.000004           0        15           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.000000           0         2           socketpair
  0.00    0.000000           0         5           getsockopt
  0.00    0.000000           0         1           sched_setaffinity
  0.00    0.000000           0         1           sendmmsg
------ ----------- ----------- --------- --------- ----------------
100.00  162.560329               1732268     32321 total
